DeviceID,Timestamp,StoreID,StoreName
D00001,2026-09-10 04:55:33.618615,S005,GeoPulse Store E
D00001,2026-09-10 07:55:23.618615,S001,GeoPulse Store A
D00001,2026-09-10 07:55:23.618615,S003,GeoPulse Store C
D00001,2026-09-10 09:28:30.618615,S001,GeoPulse Store A
D00001,2026-09-10 09:28:30.618615,S003,GeoPulse Store C
D00001,2026-09-10 09:34:51.618615,S002,GeoPulse Store B
D00001,2026-09-10 17:13:20.618615,S001,GeoPulse Store A
D00001,2026-09-10 17:13:20.618615,S003,GeoPulse Store C
D00001,2026-09-11 03:10:12.618615,S003,GeoPulse Store C
D00001,2026-09-11 08:47:03.618615,S001,GeoPulse Store A
D00001,2026-09-11 08:47:03.618615,S002,GeoPulse Store B
D00001,2026-09-11 16:13:39.618615,S001,GeoPulse Store A
D00001,2026-09-11 16:13:39.618615,S003,GeoPulse Store C
D00001,2026-09-11 16:13:39.618615,S005,GeoPulse Store E
D00001,2026-09-11 18:21:37.618615,S003,GeoPulse Store C
D00001,2026-09-12 01:56:09.618615,S002,GeoPulse Store B
D00001,2026-09-12 05:04:59.618615,S003,GeoPulse Store C
D00001,2026-09-12 08:33:36.618615,S003,GeoPulse Store C
D00001,2026-09-12 10:14:37.618615,S005,GeoPulse Store E
D00001,2026-09-12 13:44:32.618615,S001,GeoPulse Store A
D00001,2026-09-12 13:44:32.618615,S005,GeoPulse Store E
D00001,2026-09-12 14:32:02.618615,S005,GeoPulse Store E
D00001,2026-09-12 23:24:45.618615,S001,GeoPulse Store A
D00001,2026-09-12 23:24:45.618615,S002,GeoPulse Store B
D00001,2026-09-13 04:33:30.618615,S003,GeoPulse Store C
D00001,2026-09-13 04:33:30.618615,S005,GeoPulse Store E
D00001,2026-09-13 06:17:07.618615,S005,GeoPulse Store E
D00001,2026-09-13 11:21:33.618615,S005,GeoPulse Store E
D00001,2026-09-13 17:13:39.618615,S001,GeoPulse Store A
D00001,2026-09-13 17:13:39.618615,S003,GeoPulse Store C
D00001,2026-09-14 01:26:46.618615,S005,GeoPulse Store E
D00001,2026-09-14 05:39:27.618615,S003,GeoPulse Store C
D00001,2026-09-14 05:39:27.618615,S005,GeoPulse Store E
D00001,2026-09-14 11:03:20.618615,S001,GeoPulse Store A
D00001,2026-09-14 11:03:20.618615,S002,GeoPulse Store B
D00001,2026-09-14 11:03:20.618615,S004,GeoPulse Store D
D00001,2026-09-14 15:15:48.618615,S001,GeoPulse Store A
D00001,2026-09-14 15:15:48.618615,S005,GeoPulse Store E
D00001,2026-09-15 01:42:56.618615,S001,GeoPulse Store A
D00001,2026-09-15 01:42:56.618615,S003,GeoPulse Store C
D00001,2026-09-15 02:26:06.618615,S001,GeoPulse Store A
D00001,2026-09-15 02:26:06.618615,S003,GeoPulse Store C
D00001,2026-09-15 09:08:59.618615,S005,GeoPulse Store E
D00001,2026-09-15 16:13:43.618615,S005,GeoPulse Store E
D00001,2026-09-15 17:52:05.618615,S001,GeoPulse Store A
D00001,2026-09-15 17:52:05.618615,S005,GeoPulse Store E
D00001,2026-09-15 18:53:33.618615,S003,GeoPulse Store C
D00001,2026-09-15 20:30:21.618615,S001,GeoPulse Store A
D00001,2026-09-15 20:30:21.618615,S002,GeoPulse Store B
D00001,2026-09-16 00:21:49.618615,S005,GeoPulse Store E
D00001,2026-09-16 02:42:36.618615,S003,GeoPulse Store C
D00001,2026-09-16 09:41:34.618615,S001,GeoPulse Store A
D00001,2026-09-16 09:41:34.618615,S003,GeoPulse Store C
D00001,2026-09-16 10:33:35.618615,S003,GeoPulse Store C
D00001,2026-09-16 13:45:31.618615,S005,GeoPulse Store E
