Date,Hour,StoreID,StoreName,GPSObservations,UniqueVisitors
2026-09-09,21,S001,GeoPulse Store A,56,54
2026-09-09,22,S001,GeoPulse Store A,48,46
2026-09-09,23,S001,GeoPulse Store A,55,53
2026-09-10,0,S001,GeoPulse Store A,48,45
2026-09-10,1,S001,GeoPulse Store A,54,54
2026-09-10,2,S001,GeoPulse Store A,48,48
2026-09-10,3,S001,GeoPulse Store A,58,58
2026-09-10,4,S001,GeoPulse Store A,43,42
2026-09-10,5,S001,GeoPulse Store A,50,49
2026-09-10,6,S001,GeoPulse Store A,45,42
2026-09-10,7,S001,GeoPulse Store A,79,78
2026-09-10,8,S001,GeoPulse Store A,70,65
2026-09-10,9,S001,GeoPulse Store A,89,85
2026-09-10,10,S001,GeoPulse Store A,97,94
2026-09-10,11,S001,GeoPulse Store A,53,52
2026-09-10,12,S001,GeoPulse Store A,50,50
2026-09-10,13,S001,GeoPulse Store A,44,42
2026-09-10,14,S001,GeoPulse Store A,52,50
2026-09-10,15,S001,GeoPulse Store A,34,34
2026-09-10,16,S001,GeoPulse Store A,52,50
2026-09-10,17,S001,GeoPulse Store A,79,76
2026-09-10,18,S001,GeoPulse Store A,89,84
2026-09-10,19,S001,GeoPulse Store A,101,92
2026-09-10,20,S001,GeoPulse Store A,100,92
2026-09-10,21,S001,GeoPulse Store A,73,70
2026-09-10,22,S001,GeoPulse Store A,40,39
2026-09-10,23,S001,GeoPulse Store A,62,62
2026-09-11,0,S001,GeoPulse Store A,57,56
2026-09-11,1,S001,GeoPulse Store A,47,46
2026-09-11,2,S001,GeoPulse Store A,39,39
2026-09-11,3,S001,GeoPulse Store A,54,51
2026-09-11,4,S001,GeoPulse Store A,51,51
2026-09-11,5,S001,GeoPulse Store A,50,49
2026-09-11,6,S001,GeoPulse Store A,60,59
2026-09-11,7,S001,GeoPulse Store A,87,82
2026-09-11,8,S001,GeoPulse Store A,79,76
2026-09-11,9,S001,GeoPulse Store A,63,58
2026-09-11,10,S001,GeoPulse Store A,89,83
2026-09-11,11,S001,GeoPulse Store A,47,45
2026-09-11,12,S001,GeoPulse Store A,55,55
2026-09-11,13,S001,GeoPulse Store A,50,48
2026-09-11,14,S001,GeoPulse Store A,57,55
2026-09-11,15,S001,GeoPulse Store A,49,47
2026-09-11,16,S001,GeoPulse Store A,49,48
2026-09-11,17,S001,GeoPulse Store A,103,95
2026-09-11,18,S001,GeoPulse Store A,76,71
2026-09-11,19,S001,GeoPulse Store A,92,88
2026-09-11,20,S001,GeoPulse Store A,101,97
2026-09-11,21,S001,GeoPulse Store A,98,91
2026-09-11,22,S001,GeoPulse Store A,66,60
2026-09-11,23,S001,GeoPulse Store A,66,64
2026-09-12,0,S001,GeoPulse Store A,42,42
2026-09-12,1,S001,GeoPulse Store A,68,63
2026-09-12,2,S001,GeoPulse Store A,63,61
2026-09-12,3,S001,GeoPulse Store A,46,44
2026-09-12,4,S001,GeoPulse Store A,41,39
2026-09-12,5,S001,GeoPulse Store A,50,49
2026-09-12,6,S001,GeoPulse Store A,57,56
2026-09-12,7,S001,GeoPulse Store A,86,85
2026-09-12,8,S001,GeoPulse Store A,91,86
2026-09-12,9,S001,GeoPulse Store A,97,92
2026-09-12,10,S001,GeoPulse Store A,86,85
2026-09-12,11,S001,GeoPulse Store A,59,55
2026-09-12,12,S001,GeoPulse Store A,53,53
2026-09-12,13,S001,GeoPulse Store A,66,64
2026-09-12,14,S001,GeoPulse Store A,65,62
2026-09-12,15,S001,GeoPulse Store A,63,61
2026-09-12,16,S001,GeoPulse Store A,57,55
2026-09-12,17,S001,GeoPulse Store A,84,77
2026-09-12,18,S001,GeoPulse Store A,83,79
2026-09-12,19,S001,GeoPulse Store A,88,86
2026-09-12,20,S001,GeoPulse Store A,73,71
2026-09-12,21,S001,GeoPulse Store A,87,83
2026-09-12,22,S001,GeoPulse Store A,50,48
2026-09-12,23,S001,GeoPulse Store A,67,66
2026-09-13,0,S001,GeoPulse Store A,64,63
2026-09-13,1,S001,GeoPulse Store A,47,47
2026-09-13,2,S001,GeoPulse Store A,52,49
2026-09-13,3,S001,GeoPulse Store A,49,47
2026-09-13,4,S001,GeoPulse Store A,50,50
2026-09-13,5,S001,GeoPulse Store A,54,53
2026-09-13,6,S001,GeoPulse Store A,48,44
2026-09-13,7,S001,GeoPulse Store A,93,89
2026-09-13,8,S001,GeoPulse Store A,73,73
2026-09-13,9,S001,GeoPulse Store A,87,80
2026-09-13,10,S001,GeoPulse Store A,80,79
2026-09-13,11,S001,GeoPulse Store A,55,53
2026-09-13,12,S001,GeoPulse Store A,55,53
2026-09-13,13,S001,GeoPulse Store A,57,55
2026-09-13,14,S001,GeoPulse Store A,45,45
2026-09-13,15,S001,GeoPulse Store A,56,54
2026-09-13,16,S001,GeoPulse Store A,46,44
2026-09-13,17,S001,GeoPulse Store A,100,91
2026-09-13,18,S001,GeoPulse Store A,89,81
2026-09-13,19,S001,GeoPulse Store A,72,67
2026-09-13,20,S001,GeoPulse Store A,89,85
2026-09-13,21,S001,GeoPulse Store A,90,87
2026-09-13,22,S001,GeoPulse Store A,54,54
2026-09-13,23,S001,GeoPulse Store A,48,47
2026-09-14,0,S001,GeoPulse Store A,58,57
2026-09-14,1,S001,GeoPulse Store A,55,55
2026-09-14,2,S001,GeoPulse Store A,47,45
2026-09-14,3,S001,GeoPulse Store A,57,55
2026-09-14,4,S001,GeoPulse Store A,61,57
2026-09-14,5,S001,GeoPulse Store A,48,47
2026-09-14,6,S001,GeoPulse Store A,51,49
2026-09-14,7,S001,GeoPulse Store A,85,82
2026-09-14,8,S001,GeoPulse Store A,100,93
2026-09-14,9,S001,GeoPulse Store A,67,62
2026-09-14,10,S001,GeoPulse Store A,82,78
2026-09-14,11,S001,GeoPulse Store A,58,56
2026-09-14,12,S001,GeoPulse Store A,53,52
2026-09-14,13,S001,GeoPulse Store A,63,62
2026-09-14,14,S001,GeoPulse Store A,38,37
2026-09-14,15,S001,GeoPulse Store A,48,43
2026-09-14,16,S001,GeoPulse Store A,56,56
2026-09-14,17,S001,GeoPulse Store A,102,94
2026-09-14,18,S001,GeoPulse Store A,80,77
2026-09-14,19,S001,GeoPulse Store A,94,87
2026-09-14,20,S001,GeoPulse Store A,83,80
2026-09-14,21,S001,GeoPulse Store A,103,102
2026-09-14,22,S001,GeoPulse Store A,54,51
2026-09-14,23,S001,GeoPulse Store A,50,49
2026-09-15,0,S001,GeoPulse Store A,48,44
2026-09-15,1,S001,GeoPulse Store A,50,49
2026-09-15,2,S001,GeoPulse Store A,47,45
2026-09-15,3,S001,GeoPulse Store A,47,46
2026-09-15,4,S001,GeoPulse Store A,62,59
2026-09-15,5,S001,GeoPulse Store A,50,49
2026-09-15,6,S001,GeoPulse Store A,49,46
2026-09-15,7,S001,GeoPulse Store A,83,82
2026-09-15,8,S001,GeoPulse Store A,90,87
2026-09-15,9,S001,GeoPulse Store A,80,75
2026-09-15,10,S001,GeoPulse Store A,85,84
2026-09-15,11,S001,GeoPulse Store A,54,53
2026-09-15,12,S001,GeoPulse Store A,55,55
2026-09-15,13,S001,GeoPulse Store A,53,51
2026-09-15,14,S001,GeoPulse Store A,54,52
2026-09-15,15,S001,GeoPulse Store A,40,40
2026-09-15,16,S001,GeoPulse Store A,61,59
2026-09-15,17,S001,GeoPulse Store A,93,90
2026-09-15,18,S001,GeoPulse Store A,81,78
2026-09-15,19,S001,GeoPulse Store A,79,75
2026-09-15,20,S001,GeoPulse Store A,95,90
2026-09-15,21,S001,GeoPulse Store A,98,95
2026-09-15,22,S001,GeoPulse Store A,55,54
